"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine"
"Essential","Lethal","0","NHM","17","2382","0.257","0.011","0","within","yes","1.64723425714646","17","2382","0.393","0.02","0","within","yes","2.48752207736585","17","2382","0.482","0.132","0","within","yes","2.2959365559116","17","2382","-0.576","-0.444","0.008","between","yes","-0.317149882622974","17","2382","0.068","0.037","0.008","within","yes","0.272001364444311","17","2382","0.795","0.576","0","within","yes","1.94724965352808","17","2382","0.431","0.011","0","within","yes","4.38066627920899","17","2382","0.625","0.022","0","within","yes","4.28284577633849"
"Essential","Lethal","0","SRL","155","2244","0.224","0.027","0","within","yes","1.31912662056037","155","2244","0.387","0.053","0","within","yes","2.22743263764127","155","2244","0.336","0.131","0","within","yes","1.34476283989108","155","2244","-0.382","-0.326","0","between","yes","-0.134548435052171","155","2244","0.099","0.058","0","within","yes","0.359743740071508","155","2244","0.701","0.583","0","within","yes","1.04920300966353","155","2244","0.199","0.021","0","within","yes","1.85656808976","155","2244","0.314","0.041","0","within","yes","1.93899982908857"
"Essential","Lethal","1","all","265","2140","0.101","0.023","0","within","yes","0.522293788851316","265","2140","0.187","0.047","0","within","yes","0.933654399011312","265","2140","0.205","0.126","0","within","yes","0.518225679762904","265","2140","-0.302","-0.261","0","between","yes","-0.0985086756631965","265","2140","0.086","0.062","0","within","yes","0.210581701505273","265","2140","0.632","0.573","0","within","yes","0.524601504831765","265","2140","0.093","0.023","0","within","yes","0.730111046534831","265","2140","0.156","0.046","0","within","yes","0.78128198241664"
"Essential","Embryo / Seed","0","EMB","364","2035","0.78","0.047","0","within","yes","4.90822240035916","364","2035","0.796","0.07","0","within","yes","4.84166495487294","364","2035","0.78","0.176","0","within","yes","3.9621305136303","364","2035","0.551","-0.107","0","within","yes","1.58094411186301","364","2035","0.572","0.086","0","within","yes","4.26427945548178","364","2035","0.793","0.571","0","within","yes","1.97392430631613","364","2035","0.499","0.027","0","within","yes","4.92303448520629","364","2035","0.65","0.052","0","within","yes","4.24733295895592"
"Essential","Embryo / Seed","0","MSD","13","2386","0.239","0.051","0","within","yes","1.25886195261599","13","2386","0.419","0.088","0","within","yes","2.20742575766246","13","2386","0.336","0.157","0","within","yes","1.1742075528805","13","2386","0.381","-0.07","0","within","yes","1.08359543229516","13","2386","0.267","0.108","0","within","yes","1.39510377247244","13","2386","0.753","0.584","0","within","yes","1.50267210706048","13","2386","0.307","0.047","0","within","yes","2.71184102998652","13","2386","0.46","0.098","0","within","yes","2.5711279784984"
"Essential","Embryo / Seed","1","all","377","2022","0.742","0.045","0","within","yes","4.66716372858163","377","2022","0.763","0.068","0","within","yes","4.63492719509187","377","2022","0.75","0.174","0","within","yes","3.77845558915738","377","2022","0.527","-0.109","0","within","yes","1.52808579809251","377","2022","0.55","0.085","0","within","yes","4.08002046666467","377","2022","0.785","0.57","0","within","yes","1.91168344981067","377","2022","0.476","0.026","0","within","yes","4.6935710134382","377","2022","0.629","0.051","0","within","yes","4.10528168942562"
"Morphological","Reproductive","0","OVP","33","2366","0.043","0.012","0.001","within","yes","0.207578300697318","33","2366","0.067","0.032","0","within","yes","0.233413599752828","33","2366","0.162","0.132","0","within","yes","0.19679456193528","33","2366","-0.539","-0.405","0","between","yes","-0.321955183874838","33","2366","0.044","0.044","0","between","yes","0","33","2366","0.681","0.592","0","within","yes","0.791348032712324","33","2366","0.104","0.019","0","within","yes","0.886563413649438","33","2366","0.197","0.039","0","within","yes","1.12220502928936"
"Morphological","Reproductive","0","SSC","40","2359","0.092","0.008","0","within","yes","0.56247023414757","40","2359","0.143","0.04","0","within","yes","0.686902879272608","40","2359","0.197","0.115","0","within","yes","0.537905135956432","40","2359","-0.04","-0.166","0","within","yes","0.302733978867385","40","2359","0.199","0.067","0","within","yes","1.158199358279","40","2359","0.675","0.568","0","within","yes","0.95139594944066","40","2359","0.149","0.018","0","within","yes","1.3663506728009","40","2359","0.226","0.035","0","within","yes","1.35658962401435"
"Morphological","Reproductive","1","all","73","2326","0.04","0.01","0","within","yes","0.200882226481275","73","2326","0.074","0.037","0","within","yes","0.246751519738704","73","2326","0.15","0.123","0","within","yes","0.177115105741752","73","2326","-0.307","-0.27","0","between","yes","-0.08889807315947","73","2326","0.096","0.057","0","within","yes","0.342195264946069","73","2326","0.637","0.578","0","within","yes","0.524601504831765","73","2326","0.078","0.018","0","within","yes","0.625809468458427","73","2326","0.134","0.037","0","within","yes","0.688948657221946"
"Morphological","Timing","0","CDR","13","2386","0.264","0.009","0","within","yes","1.70749892509084","13","2386","0.156","0.018","0","within","yes","0.920316479025436","13","2386","0.389","0.1","0","within","yes","1.89578761330986","13","2386","-0.18","-0.236","0","within","yes","0.134548435052171","13","2386","0.236","0.044","0","within","yes","1.68465361204219","13","2386","0.744","0.538","0","within","yes","1.8316594914465","13","2386","0.304","0.024","0","within","yes","2.92044418613933","13","2386","0.47","0.047","0","within","yes","3.00438435056581"
"Morphological","Timing","0","LIT","146","2253","0.063","0.016","0","within","yes","0.314715488153998","146","2253","0.106","0.037","0","within","yes","0.460158239512718","146","2253","0.178","0.114","0","within","yes","0.419828398795264","146","2253","-0.073","-0.158","0","within","yes","0.204225303204188","146","2253","0.138","0.064","0","within","yes","0.649293579641259","146","2253","0.631","0.535","0","within","yes","0.853588889217787","146","2253","0.117","0.027","0","within","yes","0.93871420268764","146","2253","0.204","0.055","0","within","yes","1.05828195800072"
"Morphological","Timing","0","MPH","18","2381","0.069","0.03","0","within","yes","0.261146894425658","18","2381","0.111","0.034","0","within","yes","0.513509919456221","18","2381","0.164","0.113","0.007","within","yes","0.334550755289976","18","2381","0.043","-0.112","0","within","yes","0.372410847019402","18","2381","0.109","0.07","0","within","yes","0.342195264946069","18","2381","0.571","0.537","0","within","yes","0.302312731597966","18","2381","0.116","0.034","0","within","yes","0.855272940226517","18","2381","0.191","0.067","0","within","yes","0.880717871087849"
