"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Conditional","Physical","0","WAT","40","2359","0.088","0.022","0","within","yes","0.43798922785069","32","40","2359","0.234","0.024","0","within","yes","1.39413912816468","32","40","2359","0.333","0.091","0","within","yes","1.58491575748388","32","40","2359","0.125","0.011","0","within","yes","1.33763289078756","32","40","2359","0.171","0.069","0","within","yes","0.885818450104509","32","40","2359","0.687","0.551","0","within","yes","1.11412843087341","32","40","2359","0.239","0.039","0","within","yes","2.31318136308435","32","40","2359","0.432","0.086","0","within","yes","2.65192913481659","32"
"Conditional","Physical","1","all","288","2125","0.033","0.019","0","within","yes","0.0929068059077222","0","288","2125","0.076","0.032","0","within","yes","0.292105341139266","0","288","2125","0.153","0.107","0","within","yes","0.301264978695284","0","288","2125","0.032","0.012","0","within","yes","0.234672436980274","0","288","2125","0.099","0.066","0","within","yes","0.286588322092635","0","288","2125","0.579","0.533","0","within","yes","0.3768375575013","0","288","2125","0.081","0.027","0","within","yes","0.624558968032775","0","288","2125","0.162","0.057","0","within","yes","0.804776182531047","0"
"Essential","Gametophyte","0","EMG","54","2345","0.509","0.104","0","within","yes","2.68766117090196","3","54","2345","0.708","0.14","0","within","yes","3.7708144037978","3","54","2345","0.514","0.2","0","within","yes","2.05646094152868","3","54","2345","0.638","0.061","0","within","yes","6.77029980688091","3","54","2345","0.438","0.107","0","within","yes","2.87456771553522","3","54","2345","0.878","0.586","0","within","yes","2.39209927805174","3","54","2345","0.6","0.057","0","within","yes","6.28028740077401","3","54","2345","0.842","0.092","0","within","yes","5.7484013037932","3"
"Essential","Gametophyte","0","GAM","75","2324","0.595","0.076","0","within","yes","3.4441880190077","1","75","2324","0.741","0.135","0","within","yes","4.02308719841807","1","75","2324","0.715","0.224","0","within","yes","3.21567618563879","1","75","2324","0.61","0.038","0","within","yes","6.71163169763584","1","75","2324","0.669","0.099","0","within","yes","4.95016192705461","1","75","2324","0.883","0.553","0","within","yes","2.70339986903107","1","75","2324","0.588","0.036","0","within","yes","6.38438056211281","1","75","2324","0.79","0.061","0","within","yes","5.58744606728699","1"
"Essential","Gametophyte","0","GEM","32","2367","0.697","0.112","0","within","yes","3.88217724685839","2","32","2367","0.874","0.168","0","within","yes","4.68696297373458","2","32","2367","0.834","0.246","0","within","yes","3.8509523363658","2","32","2367","0.774","0.075","0","within","yes","8.20180167246058","2","32","2367","0.581","0.124","0","within","yes","3.96881403625255","2","32","2367","0.93","0.583","0","within","yes","2.84266592289025","2","32","2367","0.747","0.064","0","within","yes","7.89951435493306","2","32","2367","0.911","0.096","0","within","yes","6.24659608345527","2"
"Essential","Gametophyte","0","MGD","47","2352","0.194","0.049","0","within","yes","0.962249061187122","4","47","2352","0.29","0.097","0","within","yes","1.28128024636087","4","47","2352","0.277","0.166","0","within","yes","0.726965492069054","4","47","2352","0.229","0.031","0","within","yes","2.32325712610472","4","47","2352","0.31","0.1","0","within","yes","1.82374386786222","4","47","2352","0.713","0.562","0","within","yes","1.2370102431021","4","47","2352","0.23","0.034","0","within","yes","2.26691773582266","4","47","2352","0.366","0.062","0","within","yes","2.33001866180417","4"
"Essential","Gametophyte","1","all","208","2202","0.392","0.065","0","within","yes","2.17003753798751","0","208","2202","0.564","0.107","0","within","yes","3.03391229319647","0","208","2202","0.49","0.192","0","within","yes","1.95167312285206","0","208","2202","0.438","0.025","0","within","yes","4.84598582364266","0","208","2202","0.429","0.086","0","within","yes","2.97878165084163","0","208","2202","0.812","0.554","0","within","yes","2.11356717033338","0","208","2202","0.419","0.024","0","within","yes","4.56853319209159","0","208","2202","0.638","0.041","0","within","yes","4.57572743781938","0"
"Essential","Lethal","0","NHM","17","2382","0.372","0.011","0","within","yes","2.39566835233484","7","17","2382","0.486","0.019","0","within","yes","3.10029987072812","7","17","2382","0.562","0.131","0","within","yes","2.82272186560146","7","17","2382","0.014","0.011","0.208","within","no","0.0352008655470411","7","17","2382","0.033","0.041","0","between","yes","-0.0694759568709419","7","17","2382","0.853","0.572","0","within","yes","2.30198594908403","7","17","2382","0.555","0.009","0","within","yes","6.31498512122028","7","17","2382","0.696","0.019","0","within","yes","5.18889024355732","7"
"Essential","Lethal","0","SRL","155","2244","0.247","0.027","0","within","yes","1.45996409283563","8","155","2244","0.409","0.052","0","within","yes","2.37003651787995","8","155","2244","0.356","0.13","0","within","yes","1.48012793880726","8","155","2244","0.105","0.013","0","within","yes","1.07949321010926","8","155","2244","0.165","0.079","0","within","yes","0.746866536362625","8","155","2244","0.711","0.572","0","within","yes","1.13870479331915","8","155","2244","0.228","0.017","0","within","yes","2.44040633805399","8","155","2244","0.329","0.031","0","within","yes","2.28403145137383","8"
"Essential","Lethal","1","all","172","2228","0.208","0.025","0","within","yes","1.21442467722237","0","172","2228","0.344","0.049","0","within","yes","1.95843353718371","0","172","2228","0.316","0.13","0","within","yes","1.21815839211571","0","172","2228","0.087","0.013","0","within","yes","0.868288016827015","0","172","2228","0.143","0.075","0","within","yes","0.590545633403006","0","172","2228","0.702","0.571","0","within","yes","1.07316782679718","0","172","2228","0.193","0.016","0","within","yes","2.04716550632965","0","172","2228","0.278","0.029","0","within","yes","1.90846923285934","0"
"Essential","Embryo / Seed","0","EMB","364","2035","0.78","0.047","0","within","yes","4.86433490931145","5","364","2035","0.796","0.07","0","within","yes","4.81973812879789","5","364","2035","0.78","0.176","0","within","yes","3.95574015504242","5","364","2035","0.326","0.021","0","within","yes","3.57875466394918","5","364","2035","0.416","0.08","0","within","yes","2.91799018857956","5","364","2035","0.85","0.559","0","within","yes","2.38390715723649","5","364","2035","0.369","0.015","0","within","yes","4.0943310126593","5","364","2035","0.498","0.025","0","within","yes","3.62532508892558","5"
"Essential","Embryo / Seed","0","MSD","13","2386","0.239","0.051","0","within","yes","1.24760567933227","6","13","2386","0.419","0.088","0","within","yes","2.19742881629766","6","13","2386","0.336","0.157","0","within","yes","1.17231372144469","6","13","2386","0.378","0.039","0","within","yes","3.97769780681565","6","13","2386","0.323","0.096","0","within","yes","1.97138027621298","6","13","2386","0.715","0.573","0","within","yes","1.16328115576489","6","13","2386","0.312","0.032","0","within","yes","3.23845390831809","6","13","2386","0.473","0.064","0","within","yes","3.13479484433522","6"
"Essential","Embryo / Seed","1","all","377","2022","0.742","0.045","0","within","yes","4.62543169412017","0","377","2022","0.763","0.068","0","within","yes","4.61393663844977","0","377","2022","0.75","0.174","0","within","yes","3.77236147235834","0","377","2022","0.312","0.021","0","within","yes","3.41448395806299","0","377","2022","0.4","0.079","0","within","yes","2.78772276944654","0","377","2022","0.839","0.558","0","within","yes","2.30198594908403","0","377","2022","0.349","0.015","0","within","yes","3.86301287635086","0","377","2022","0.473","0.025","0","within","yes","3.43371171213247","0"
"Morphological","Reproductive","0","FSM","147","2252","0.048","0.016","0","within","yes","0.212358413503365","18","147","2252","0.126","0.048","0","within","yes","0.517823104746881","18","147","2252","0.202","0.114","0","within","yes","0.576333002721413","18","147","2252","0.071","0.022","0","within","yes","0.574947470601672","18","147","2252","0.138","0.077","0","within","yes","0.529754171140932","18","147","2252","0.625","0.542","0","within","yes","0.679946027665391","18","147","2252","0.072","0.021","0","within","yes","0.589861247586509","18","147","2252","0.14","0.044","0","within","yes","0.735795366885529","18"
"Morphological","Reproductive","0","OVP","33","2366","0.073","0.012","0","within","yes","0.404808225740789","19","33","2366","0.094","0.031","0","within","yes","0.418241738449403","19","33","2366","0.194","0.13","0","within","yes","0.419151274706482","19","33","2366","0.039","0.013","0","within","yes","0.305074168074356","19","33","2366","0.094","0.062","0","within","yes","0.277903827483768","19","33","2366","0.669","0.573","0","within","yes","0.786443598263585","19","33","2366","0.146","0.017","0","within","yes","1.49200197918941","19","33","2366","0.243","0.036","0","within","yes","1.58655875984692","19"
"Morphological","Reproductive","0","SRF","197","2202","0.071","0.021","0","within","yes","0.331810021099008","20","197","2202","0.205","0.049","0","within","yes","1.03564620949376","20","197","2202","0.287","0.121","0","within","yes","1.08717361876994","20","197","2202","0.145","0.022","0","within","yes","1.44323548742869","20","197","2202","0.243","0.088","0","within","yes","1.3460966643745","20","197","2202","0.612","0.55","0","within","yes","0.507911490545231","20","197","2202","0.115","0.021","0","within","yes","1.08719524064964","20","197","2202","0.19","0.043","0","within","yes","1.12668665554347","20"
"Morphological","Reproductive","0","SSC","40","2359","0.095","0.008","0","within","yes","0.577349436712273","21","40","2359","0.146","0.04","0","within","yes","0.703708321835504","21","40","2359","0.2","0.115","0","within","yes","0.556685286719546","21","40","2359","0.139","0.02","0","within","yes","1.39630100003263","21","40","2359","0.196","0.07","0","within","yes","1.09424632071733","21","40","2359","0.659","0.562","0","within","yes","0.79463571907883","21","40","2359","0.156","0.016","0","within","yes","1.61922695415905","21","40","2359","0.234","0.031","0","within","yes","1.55590061956002","21"
"Morphological","Reproductive","1","all","417","2061","0.039","0.017","0","within","yes","0.145996409283563","0","417","2061","0.116","0.042","0","within","yes","0.49126807373422","0","417","2061","0.193","0.119","0","within","yes","0.48464366137937","0","417","2061","0.075","0.018","0","within","yes","0.668816445393781","0","417","2061","0.145","0.077","0","within","yes","0.590545633403006","0","417","2061","0.595","0.548","0","within","yes","0.385029678316546","0","417","2061","0.063","0.018","0","within","yes","0.520465806693979","0","417","2061","0.111","0.037","0","within","yes","0.567175595307595","0"
"Morphological","Timing","0","CDR","13","2386","0.274","0.009","0","within","yes","1.75859311182474","24","13","2386","0.167","0.018","0","within","yes","0.989174905221605","24","13","2386","0.396","0.1","0","within","yes","1.93857464551748","24","13","2386","0.098","0.007","0.003","within","yes","1.06775958826025","24","13","2386","0.242","0.052","0","within","yes","1.65005397568487","24","13","2386","0.754","0.544","0","within","yes","1.72034537120159","24","13","2386","0.309","0.023","0","within","yes","3.30784934921062","24","13","2386","0.47","0.047","0","within","yes","3.24209833533936","24"
