"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Essential","Gametophyte","1","all","208","2202","0.392","0.065","0","within","yes","2.17003753798751","0","208","2202","0.564","0.107","0","within","yes","3.03391229319647","0","208","2202","0.49","0.192","0","within","yes","1.95167312285206","0","208","2202","0.311","0.016","0","within","yes","3.96003416967698","0","208","2202","0.405","0.085","0","within","yes","2.85722311056351","0","208","2202","0.813","0.554","0","within","yes","2.12612246794913","0","208","2202","0.419","0.024","0","within","yes","4.56735560678119","0","208","2202","0.638","0.041","0","within","yes","4.57650615923948","0"
"Essential","Lethal","0","NHM","17","2382","0.372","0.011","0","within","yes","2.39566835233484","7","17","2382","0.486","0.019","0","within","yes","3.10029987072812","7","17","2382","0.562","0.131","0","within","yes","2.82272186560146","7","17","2382","0.012","0.009","0.446","within","no","0.0402715339289185","7","17","2382","0.031","0.04","0","between","yes","-0.0803593999845986","7","17","2382","0.853","0.567","0","within","yes","2.34776457850754","7","17","2382","0.555","0.009","0","within","yes","6.31335737038615","7","17","2382","0.696","0.019","0","within","yes","5.1897733162565","7"
"Essential","Lethal","0","SRL","155","2244","0.247","0.027","0","within","yes","1.45996409283563","8","155","2244","0.409","0.052","0","within","yes","2.37003651787995","8","155","2244","0.356","0.13","0","within","yes","1.48012793880726","8","155","2244","0.102","0.009","0","within","yes","1.24841755179647","8","155","2244","0.167","0.079","0","within","yes","0.785736355404964","8","155","2244","0.709","0.571","0","within","yes","1.13283745396518","8","155","2244","0.228","0.017","0","within","yes","2.43977729881223","8","155","2244","0.329","0.031","0","within","yes","2.28442015988839","8"
"Essential","Lethal","1","all","172","2228","0.208","0.025","0","within","yes","1.21442467722237","0","172","2228","0.344","0.049","0","within","yes","1.95843353718371","0","172","2228","0.316","0.13","0","within","yes","1.21815839211571","0","172","2228","0.085","0.009","0","within","yes","1.02021219286593","0","172","2228","0.144","0.075","0","within","yes","0.616088733215256","0","172","2228","0.7","0.57","0","within","yes","1.06716571750343","0","172","2228","0.193","0.016","0","within","yes","2.04663782886144","0","172","2228","0.278","0.029","0","within","yes","1.90879402621546","0"
"Essential","Embryo / Seed","0","EMB","364","2035","0.78","0.047","0","within","yes","4.86433490931145","5","364","2035","0.796","0.07","0","within","yes","4.81973812879789","5","364","2035","0.78","0.176","0","within","yes","3.95574015504242","5","364","2035","0.251","0.013","0","within","yes","3.19487502502753","5","364","2035","0.449","0.079","0","within","yes","3.30366422158905","5","364","2035","0.849","0.56","0","within","yes","2.37239147968069","5","364","2035","0.369","0.015","0","within","yes","4.09327565772289","5","364","2035","0.498","0.025","0","within","yes","3.62594206586311","5"
"Essential","Embryo / Seed","0","MSD","13","2386","0.239","0.051","0","within","yes","1.24760567933227","6","13","2386","0.419","0.088","0","within","yes","2.19742881629766","6","13","2386","0.336","0.157","0","within","yes","1.17231372144469","6","13","2386","0.372","0.029","0","within","yes","4.60437871253968","6","13","2386","0.31","0.093","0","within","yes","1.93755442185088","6","13","2386","0.712","0.569","0","within","yes","1.17388228925377","6","13","2386","0.312","0.032","0","within","yes","3.23761916430059","6","13","2386","0.473","0.064","0","within","yes","3.13532834024949","6"
"Essential","Embryo / Seed","1","all","377","2022","0.742","0.045","0","within","yes","4.62543169412017","0","377","2022","0.763","0.068","0","within","yes","4.61393663844977","0","377","2022","0.75","0.174","0","within","yes","3.77236147235834","0","377","2022","0.239","0.013","0","within","yes","3.03378888931186","0","377","2022","0.431","0.078","0","within","yes","3.15187424384037","0","377","2022","0.838","0.559","0","within","yes","2.29030180910351","0","377","2022","0.349","0.015","0","within","yes","3.86201714598713","0","377","2022","0.473","0.025","0","within","yes","3.43429607929529","0"
"Morphological","Reproductive","0","FSM","147","2252","0.048","0.016","0","within","yes","0.212358413503365","18","147","2252","0.126","0.048","0","within","yes","0.517823104746881","18","147","2252","0.202","0.114","0","within","yes","0.576333002721413","18","147","2252","0.054","0.015","0","within","yes","0.52352994107594","18","147","2252","0.131","0.074","0","within","yes","0.508942866569125","18","147","2252","0.627","0.544","0","within","yes","0.681344265790649","18","147","2252","0.072","0.021","0","within","yes","0.589709204926179","18","147","2252","0.14","0.044","0","within","yes","0.73592058842042","18"
"Morphological","Reproductive","0","OVP","33","2366","0.073","0.012","0","within","yes","0.404808225740789","19","33","2366","0.094","0.031","0","within","yes","0.418241738449403","19","33","2366","0.194","0.13","0","within","yes","0.419151274706482","19","33","2366","0.033","0.008","0.004","within","yes","0.335596116074321","19","33","2366","0.089","0.06","0","within","yes","0.258935844394818","19","33","2366","0.672","0.573","0","within","yes","0.812687738714148","19","33","2366","0.146","0.017","0","within","yes","1.49161740069563","19","33","2366","0.243","0.036","0","within","yes","1.58682876878153","19"
"Morphological","Reproductive","0","SRF","197","2202","0.071","0.021","0","within","yes","0.331810021099008","20","197","2202","0.205","0.049","0","within","yes","1.03564620949376","20","197","2202","0.287","0.121","0","within","yes","1.08717361876994","20","197","2202","0.09","0.014","0","within","yes","1.02021219286593","20","197","2202","0.212","0.083","0","within","yes","1.15181806644591","20","197","2202","0.613","0.55","0","within","yes","0.517164924636275","20","197","2202","0.115","0.021","0","within","yes","1.08691500515806","20","197","2202","0.19","0.043","0","within","yes","1.12687840101877","20"
