"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Conditional","Physical","0","WAT","40","2359","0.088","0.022","0","within","yes","0.43798922785069","32","40","2359","0.234","0.024","0","within","yes","1.39413912816468","32","40","2359","0.333","0.091","0","within","yes","1.58491575748388","32","40","2359","0.016","0.009","0.542","within","no","0.103242480426469","32","40","2359","0.119","0.058","0","within","yes","0.597383792220368","32","40","2359","0.683","0.546","0","within","yes","1.4112179297854","32","40","2359","0.234","0.043","0","within","yes","1.97642805838384","32","40","2359","0.386","0.082","0","within","yes","2.14513292081523","32"
"Conditional","Physical","1","all","288","2125","0.033","0.019","0","within","yes","0.0929068059077222","0","288","2125","0.076","0.032","0","within","yes","0.292105341139266","0","288","2125","0.153","0.107","0","within","yes","0.301264978695284","0","288","2125","0.024","0.012","0","within","yes","0.176987109302518","0","288","2125","0.115","0.069","0","within","yes","0.450486138395688","0","288","2125","0.59","0.538","0","within","yes","0.535644761670371","0","288","2125","0.084","0.03","0","within","yes","0.558780707605902","0","288","2125","0.154","0.06","0","within","yes","0.663297679462603","0"
"Essential","Gametophyte","0","EMG","54","2345","0.509","0.104","0","within","yes","2.68766117090196","3","54","2345","0.708","0.14","0","within","yes","3.7708144037978","3","54","2345","0.514","0.2","0","within","yes","2.05646094152868","3","54","2345","0.549","0.035","0","within","yes","7.58094784845783","3","54","2345","0.402","0.098","0","within","yes","2.9771257841802","3","54","2345","0.889","0.591","0","within","yes","3.06965651880329","3","54","2345","0.574","0.076","0","within","yes","5.15319985903221","3","54","2345","0.816","0.137","0","within","yes","4.79126728037348","3"
"Essential","Gametophyte","0","GAM","75","2324","0.595","0.076","0","within","yes","3.4441880190077","1","75","2324","0.741","0.135","0","within","yes","4.02308719841807","1","75","2324","0.715","0.224","0","within","yes","3.21567618563879","1","75","2324","0.731","0.036","0","within","yes","10.2505034137708","1","75","2324","0.622","0.087","0","within","yes","5.23934965308028","1","75","2324","0.891","0.56","0","within","yes","3.40958492524794","1","75","2324","0.537","0.052","0","within","yes","5.01867857757153","1","75","2324","0.76","0.1","0","within","yes","4.65719647282253","1"
"Essential","Gametophyte","0","GEM","32","2367","0.697","0.112","0","within","yes","3.88217724685839","2","32","2367","0.874","0.168","0","within","yes","4.68696297373458","2","32","2367","0.834","0.246","0","within","yes","3.8509523363658","2","32","2367","0.705","0.04","0","within","yes","9.80803564051451","2","32","2367","0.553","0.08","0","within","yes","4.63217268393827","2","32","2367","0.938","0.589","0","within","yes","3.5950004196723","2","32","2367","0.687","0.082","0","within","yes","6.26041348336242","2","32","2367","0.873","0.146","0","within","yes","5.12997247839694","2"
"Essential","Gametophyte","0","MGD","47","2352","0.194","0.049","0","within","yes","0.962249061187122","4","47","2352","0.29","0.097","0","within","yes","1.28128024636087","4","47","2352","0.277","0.166","0","within","yes","0.726965492069054","4","47","2352","0.31","0.039","0","within","yes","3.99695888508185","4","47","2352","0.294","0.094","0","within","yes","1.95863538432908","4","47","2352","0.726","0.575","0","within","yes","1.55542998100435","4","47","2352","0.225","0.04","0","within","yes","1.91434131309429","4","47","2352","0.375","0.081","0","within","yes","2.07456933789367","4"
"Essential","Gametophyte","1","all","208","2202","0.392","0.065","0","within","yes","2.17003753798751","0","208","2202","0.564","0.107","0","within","yes","3.03391229319647","0","208","2202","0.49","0.192","0","within","yes","1.95167312285206","0","208","2202","0.534","0.007","0","within","yes","7.77268388353556","0","208","2202","0.425","0.071","0","within","yes","3.46678463026246","0","208","2202","0.822","0.562","0","within","yes","2.67822380835186","0","208","2202","0.38","0.043","0","within","yes","3.48720552709609","0","208","2202","0.6","0.084","0","within","yes","3.64108087875216","0"
"Essential","Lethal","0","NHM","17","2382","0.372","0.011","0","within","yes","2.39566835233484","7","17","2382","0.486","0.019","0","within","yes","3.10029987072812","7","17","2382","0.562","0.131","0","within","yes","2.82272186560146","7","17","2382","0.419","0.008","0","within","yes","6.06180849361122","7","17","2382","0.589","0.074","0","within","yes","5.04348611464737","7","17","2382","0.821","0.573","0","within","yes","2.55461347873562","7","17","2382","0.518","0.011","0","within","yes","5.24632997696652","7","17","2382","0.683","0.022","0","within","yes","4.66425283111469","7"
"Essential","Lethal","0","SRL","155","2244","0.247","0.027","0","within","yes","1.45996409283563","8","155","2244","0.409","0.052","0","within","yes","2.37003651787995","8","155","2244","0.356","0.13","0","within","yes","1.48012793880726","8","155","2244","0.307","0.01","0","within","yes","4.38043095523731","8","155","2244","0.3","0.079","0","within","yes","2.16429209968363","8","155","2244","0.708","0.582","0","within","yes","1.29790846097052","8","155","2244","0.219","0.021","0","within","yes","2.04886259455497","8","155","2244","0.336","0.04","0","within","yes","2.08868205447798","8"
"Essential","Lethal","1","all","172","2228","0.208","0.025","0","within","yes","1.21442467722237","0","172","2228","0.344","0.049","0","within","yes","1.95843353718371","0","172","2228","0.316","0.13","0","within","yes","1.21815839211571","0","172","2228","0.256","0.01","0","within","yes","3.62823574070161","0","172","2228","0.266","0.078","0","within","yes","1.84111726126933","0","172","2228","0.699","0.58","0","within","yes","1.22580243536104","0","172","2228","0.186","0.02","0","within","yes","1.71773328634407","0","172","2228","0.285","0.038","0","within","yes","1.74292049816237","0"
